artist,title,lines,words,total_LQI,codeswitch_score,repetition_score,cadence_text_score,rhyme,internal,chain,multi_dens,compound_dens,holorime_dens,syl_density,syl_weight,alliteration,assonance,consonance,onomatopoeia,vocab,wordplay,simile,metaphor,pun,entendre,english,codeswitch,repetition,cadence_var,coherence_cosine,theme_cosine,pairwise_spread,mean_surprisal_nats,callback_cosine
Panther,Parinda,53,444,35.94,5.77,45.98,94.14,46.45,74.07,0.0,25.0,0.0,0.0,95.0,84.65,89.23,92.46,85.99,0.0,79.38,19.71,0.0,0.0,3.85,0.0,100.0,1.92,11.76,76.57,0.4606,0.5899,0.6648,4.0136,
Panther,Parwah,25,176,32.12,95.37,0.0,89.5,9.92,13.89,0.0,4.17,0.0,0.0,71.88,49.72,75.43,58.59,86.02,16.67,97.92,51.04,0.0,0.0,4.17,8.33,34.21,79.17,0.0,59.5,0.5574,0.7385,0.4744,7.3025,
Panther,Rang,56,454,37.4,5.45,60.28,88.96,47.17,81.3,0.0,20.0,0.0,0.0,92.41,82.42,88.64,77.5,65.0,0.0,76.92,37.27,3.64,0.0,3.64,0.0,100.0,1.82,16.67,58.96,0.573,0.666,0.5667,4.8336,
Panther,Rangey Haath,134,953,35.13,91.31,0.0,84.08,56.74,69.7,51.95,15.79,0.0,0.0,85.4,80.59,75.47,78.37,72.19,3.01,95.62,68.88,7.52,0.75,6.02,2.26,62.12,60.9,0.0,54.08,0.3684,0.6012,0.6494,8.7788,
Panther,Rukna Nahi Tha,71,490,29.31,92.38,25.36,84.93,25.77,18.52,0.0,14.29,0.0,0.0,69.85,18.75,78.61,50.42,77.37,0.0,92.0,68.69,10.0,0.0,5.71,2.86,38.75,65.71,5.8,54.93,0.5186,0.6989,0.5202,7.6938,
Panther,Sajke,81,496,36.16,93.96,51.77,92.05,33.08,56.6,0.0,11.11,0.0,0.0,59.36,39.77,96.61,58.97,76.67,4.94,63.59,40.74,0.0,0.0,4.94,0.0,24.25,72.84,13.75,68.2,0.6107,0.7661,0.4201,7.0383,
Paradox,Ghatotkach,36,176,33.62,91.75,12.87,91.82,39.49,9.52,24.49,42.86,0.0,0.0,54.81,62.14,74.03,71.63,71.23,11.43,95.42,54.64,0.0,0.0,8.57,0.0,24.58,62.86,2.94,67.29,0.472,0.6739,0.5619,7.4701,
Paradox,Glitch,21,223,24.14,73.1,40.83,76.6,4.46,18.52,0.0,0.0,0.0,0.0,90.48,59.95,83.1,52.73,74.68,0.0,83.0,87.34,0.0,19.05,0.0,4.76,90.11,38.1,10.0,46.6,0.2825,0.543,0.7405,1.7349,
Paradox,Hasti Rahe Tu,46,311,37.06,79.44,19.89,90.71,38.39,32.26,0.0,24.44,0.0,0.0,74.94,37.26,66.95,51.16,21.74,17.78,64.62,44.58,0.0,0.0,6.67,0.0,22.01,44.44,4.55,62.85,0.6324,0.7501,0.4473,5.3511,
Paradox,Jaadugar,59,292,37.31,83.28,7.68,88.81,35.47,45.05,23.17,6.9,0.0,0.0,61.04,80.47,72.08,80.5,55.0,50.78,89.0,0.0,0.0,0.0,0.0,0.0,24.22,48.28,1.75,58.81,0.6462,0.7948,0.3747,7.5632,
