artist,title,true_tier,pred_tier,conf,chars,rhyme,syllable,alliteration,vocabulary,wordplay,assonance,consonance,onomatopoeia,compound_dens,holorime_dens
CarryMinati,Jalwa,commercial,commercial,0.5229,1471,63.6,43.9,0.0,80.0,76.3,43.9,42.7,0.0,0.0,0.0
CarryMinati,Trigger,commercial,commercial,0.5672,2190,52.8,62.6,0.0,93.5,29.5,68.1,85.0,0.0,0.0,0.0
CarryMinati,Vardaan,commercial,commercial,0.7207,1976,42.8,72.1,0.0,51.6,5.9,87.8,56.6,0.0,0.0,0.0
CarryMinati,Warrior,commercial,commercial,0.7596,2364,49.4,36.3,10.7,52.1,38.7,18.4,39.0,0.0,0.0,0.0
CarryMinati,Yalgaar,commercial,commercial,0.6893,2037,35.6,79.7,5.6,35.6,22.7,21.6,39.4,0.0,0.0,0.0
CarryMinati,Zindagi,commercial,commercial,0.7373,1307,46.2,49.2,0.0,26.9,0.0,85.6,36.2,0.0,0.0,0.0
Dino James,Bin Bulaye,commercial,commercial,0.5824,4267,34.2,44.8,0.0,85.2,56.9,21.7,24.8,0.0,0.0,0.0
Dino James,Chosen,commercial,commercial,0.5694,2688,34.9,95.0,5.8,89.6,93.2,98.0,85.0,20.9,0.0,0.0
Dino James,D N Me,commercial,commercial,0.7165,2648,33.3,89.6,5.2,58.9,92.4,16.3,69.1,34.1,0.0,0.0
Dino James,Dhundhla,commercial,commercial,0.7207,1490,21.1,34.1,0.0,59.4,51.5,86.5,56.1,0.0,0.0,0.0
Dino James,Dooriyan,commercial,commercial,0.5976,1074,62.3,51.8,0.0,72.0,79.1,85.2,85.0,0.0,0.0,0.0
Dino James,Faltu Rapper,commercial,commercial,0.5477,4018,23.9,50.1,4.1,77.0,33.9,59.9,34.5,0.0,0.0,0.0
Dino James,GIRLFRIEND,commercial,commercial,0.7993,1377,16.7,24.6,0.0,23.3,6.3,5.0,15.4,0.0,0.0,0.0
Dino James,Jealous,commercial,commercial,0.7902,1763,25.5,53.2,0.0,18.4,33.9,13.3,12.2,43.1,0.0,0.0
Dino James,Keede,commercial,commercial,0.6967,2443,34.9,71.3,4.6,73.6,24.1,42.3,26.5,0.0,0.0,0.0
Dino James,Lost,commercial,commercial,0.715,1338,32.5,54.4,0.0,68.0,52.9,29.3,58.9,0.0,0.0,0.0
Dino James,MAA,commercial,mid,0.6261,871,56.7,95.0,0.0,39.4,15.7,18.6,85.0,0.0,0.0,0.0
Dino James,Mirage,commercial,commercial,0.5078,2728,26.1,78.7,7.0,87.2,29.1,63.7,26.0,0.0,1.4,0.0
Dino James,Nidarr,commercial,commercial,0.7368,2936,33.7,28.8,0.0,89.0,30.0,39.9,14.4,12.4,0.0,0.0
Dino James,Plastic,commercial,commercial,0.7659,3433,10.6,29.4,0.0,68.6,55.2,19.5,16.0,0.0,0.0,0.0
Dino James,Pyaar Pyaar,commercial,commercial,0.6857,1464,24.4,32.6,0.0,41.9,92.3,13.9,14.6,0.0,0.0,0.0
Dino James,Still Here,commercial,commercial,0.5287,6190,24.9,49.3,0.0,81.3,57.9,34.8,32.8,0.0,0.9,0.5
Dino James,Sunn,commercial,commercial,0.651,2576,26.4,71.5,4.7,76.8,41.2,63.7,33.3,31.2,1.4,0.0
